TRAIN_PAWS_QQP_id	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	labels1	labels2	Ground Label
1805	138555	b'How much taxes do you pay back if you earn 35k yearly ?'	b'How much taxes do you pay back if you earn 35k yearly ?'	 pay back 	 pay 	O O O O O B E O O O O O O	O O O O O S O O O O O O O	1
1821	360852	b'Have Kashmiri seperatists lost their importance after the recent developments of surgical strikes and arrests of top seperatists leadership ?'	b'Have surgical seperatists lost their importance after the recent developments of top strikes and arrests of Kashmiri seperatists leadership ?'	 recent developments 	 the recent 	O O O O O O O O B E O O O O O O O O O O	O O O O O O O B E O O O O O O O O O O O	0
1823	526060	b'What numerous medieval units would definitely win in a 1v1 fight against ancient units ?'	b'What ancient units would definitely win in a 1v1 fight against numerous medieval units ?'	 fight against 	 fight 	O O O O O O O O O O B E O O O	O O O O O O O O O S O O O O O	0
1824	28758	b'What type of doctor is the most appropriate to treat a hernia , and what is the most recommended treatment for them ?'	b'What type of doctor is the most recommended to treat a hernia , and what is the most appropriate treatment for them ?'	 most appropriate 	 appropriate 	O O O O O O B E O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O S O O O O	0
1826	517466	b'How can I memorize it effectively in order to be able to deliver one hour lecture ?'	b'How can I memorize one hour lecture in order to be able to deliver it effectively ?'	 order to be able to 	 to be able to 	O O O O O O O B I I I E O O O O O	O O O O O O O O O B I I E O O O O	0
1838	88753	b'What was the last thing that you did for the first time ?'	b'What was the first thing that you did for the last time ?'	 first time 	 first 	O O O O O O O O O O B E O	O O O S O O O O O O O O O	0
1838	569435	b'What was the last thing that you did for the first time ?'	b'What was the first thing that you did for the last time ?'	 first time 	 was the first 	O O O O O O O O O O B E O	O B I E O O O O O O O O O	0
1840	33208	b'Why the automakers still made a car without airbags in this recent days since this is the most important to protect all inside the car ?'	b'Why the automakers still made a car without airbags in this important days since this is the most recent to protect all inside the car ?'	 most important 	 important 	O O O O O O O O O O O O O O O O O B E O O O O O O O	O O O O O O O O O O O S O O O O O O O O O O O O O O	0
1845	239527	b'How do I earn money by making an Android app and by publishing in Google Play Store ?'	b'How do I earn money by making an Android app and by publishing in Google Play Store ?'	 earn money 	 earn 	O O O B E O O O O O O O O O O O O O	O O O S O O O O O O O O O O O O O O	1
1864	410433	"b""What is rudeness ? Every time I hear about someone acting rude it 's either totally bad behavior or just plain assertiveness . ?"""	"b""`` What is rudeness ? Every time I hear about someone acting `` rude `` it 's either totally bad behavior or just plain assertiveness. ? ''"""	 just plain 	 plain 	O O O O O O O O O O O O O O O O O O O B E O O O	O O O O O O O O O O O O O O O O O O O O O O O S O O O	1
1866	194412	"b""Their is a problem in Facebook mobile aap in Android version , If I am deactivating my Facebook account it 's not deactivating ?"""	"b""Their is a problem in Facebook mobile aap in Android version , If I am deactivat my Facebook account it 's not deactivating ?"""	 's not 	 not 	O O O O O O O O O O O O O O O O O O O O B E O O	O O O O O O O O O O O O O O O O O O O O O S O O	1
1867	125565	b'Why is Barney Stinson from HIMYM still so lovable even when he is such a bad guy ?'	"b""Why is Barney Stinson from 'HIMYM ' still so bad even when he is such a lovable guy ?"""	 even when 	 when 	O O O O O O O O O B E O O O O O O O	O O O O O O O O O O O S O O O O O O O	0
1868	328872	"b""`` Did Einstein say `` Everybody is a genius but if you judge a fish by its ability to climb a tree it 'll live its whole life believing that it 's stupid `` ? ''"""	"b""Did Einstein say Everybody 's a genius but if you judge a fish by its ability to climb a tree it 'll live its whole life believing that it is stupid ?"""	 is a genius 	 's a genius 	O O O O O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O	1
1868	432349	"b""`` Did Einstein say `` Everybody is a genius but if you judge a fish by its ability to climb a tree it 'll live its whole life believing that it 's stupid `` ? ''"""	"b""Did Einstein say Everybody 's a genius but if you judge a fish by its ability to climb a tree it 'll live its whole life believing that it is stupid ?"""	 's stupid 	 stupid 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S O	1
1875	322477	"b""If you 're a foreigner living in Japan and money is inconsequential , is it possible to visit South Korea on holidays ? If yes , how often ?"""	"b""If you 're a foreigner living in South Korea and money is inconsequential , is it possible to visit Japan on holidays ? If yes , how often ?"""	 you 're 	 you 	O B E O O O O O O O O O O O O O O O O O O O O O O O O O O	O S O O O O O O O O O O O O O O O O O O O O O O O O O O O	0
1882	105366	b'First 126 large numbers are put side by side in order to create a natural number N = 1234 .'	b'First 126 natural numbers are put side by side in order to create a large number N = 1234 .'	 order to create 	 to create 	O O O O O O O O O O B I E O O O O O O O	O O O O O O O O O O O B E O O O O O O O	0
1907	33960	"b""Consider NaOH + HCl- > NaCl + H2O . Is this way of preperation of salt considered `practical ' , even though all ions are aquous ?"""	"b""Consider NaOH + HCl- > NaCl + H2O . Is this way of preperation of salt considered `aquous ' , even though all ions are practical ?"""	 even though 	 though 	O O O O O O O O O O O O O O O O O O O O B E O O O O O	O O O O O O O O O O O O O O O O O O O O O S O O O O O	0
1907	223380	"b""Consider NaOH + HCl- > NaCl + H2O . Is this way of preperation of salt considered `practical ' , even though all ions are aquous ?"""	"b""Consider NaOH + HCl- > NaCl + H2O . Is this way of preperation of salt considered `aquous ' , even though all ions are practical ?"""	 even though 	 even 	O O O O O O O O O O O O O O O O O O O O B E O O O O O	O O O O O O O O O O O O O O O O O O O O S O O O O O O	0
1919	35621	b'Where can I get very clean & green pest control services in Sydney ?'	b'Where can I get very green & clean pest control services in Sydney ?'	 very clean 	 clean 	O O O O B E O O O O O O O O	O O O O O O O S O O O O O O	1
1923	403762	"b""What do people from egalitarian countries like Denmark feel about today 's feminist activism in other countries ?"""	"b""What do people from other countries like Denmark feel about today 's feminist activism in egalitarian countries ?"""	 today 's 	 today 	O O O O O O O O O O B E O O O O O O	O O O O O O O O O O S O O O O O O O	0
1924	218584	"b""Zombies : A child 's brain is mapped differently than an adult 's and not fully developed . How would zombification affect a really small child ?"""	"b""Zombies : A child 's brain is developed differently than an adult 's and not fully mapped . How would zombification affect a really small child ?"""	 really small 	 small 	O O O O O O O O O O O O O O O O O O O O O O O B E O O	O O O O O O O O O O O O O O O O O O O O O O O O S O O	0
1924	549604	"b""Zombies : A child 's brain is mapped differently than an adult 's and not fully developed . How would zombification affect a really small child ?"""	"b""Zombies : A child 's brain is developed differently than an adult 's and not fully mapped . How would zombification affect a really small child ?"""	 child 's 	 child 	O O O B E O O O O O O O O O O O O O O O O O O O O O O	O O O S O O O O O O O O O O O O O O O O O O O O O O O	0
1930	109355	b'I am 23 years old and I put 15k per month . How much should I invest and how I earn to buy a insurance policy ?'	b'I am 23 years old and I earn 15k per month . How much should I invest and how I put to buy a insurance policy ?'	 years old 	 old 	O O O B E O O O O O O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O O O O O O	0
1930	234683	b'I am 23 years old and I put 15k per month . How much should I invest and how I earn to buy a insurance policy ?'	b'I am 23 years old and I earn 15k per month . How much should I invest and how I put to buy a insurance policy ?'	 per month 	 month 	O O O O O O O O O B E O O O O O O O O O O O O O O O O	O O O O O O O O O O S O O O O O O O O O O O O O O O O	0
1939	67594	b'As a successful individual , which has been your most productive year ?'	b'As a productive individual , which has been your most successful year ?'	 most productive 	 productive 	O O O O O O O O O B E O O	O O S O O O O O O O O O O	0
1946	526060	b'Given that Nepal currently has an Indian madheshi agent as its Prime Minister , have Nepalese lost their fight against Indian immigrants as well ?'	b'Given that Nepal currently has an Indian agent as its Prime Minister , have Nepalese lost their fight against Indian madheshi immigrants as well ?'	 fight against 	 fight 	O O O O O O O O O O O O O O O O O O B E O O O O O	O O O O O O O O O O O O O O O O O S O O O O O O O	0
1965	321222	b'Why does the volumetric strain volume of a solid body always increase and not decrease ? If it does please give an example .'	b'Why does the volumetric strain volume of a solid body always decrease and not increase ? If it does please give an example .'	 give an example 	 example 	O O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O O S O	0
1969	52544	b'How long does it take to get your credit score from very poor to good ?'	b'How long does it take to get your credit score from very poor to good ?'	 very poor 	 poor 	O O O O O O O O O O O B E O O O	O O O O O O O O O O O O S O O O	1
2014	57006	b'If cold air is denser than hot air , then why does the temperature decrease as the altitude rises ?'	b'If hot air is denser than cold air , then why does the temperature decrease as the altitude rises ?'	 then why 	 why 	O O O O O O O O O B E O O O O O O O O O	O O O O O O O O O O S O O O O O O O O O	0
2036	33960	b'Why does the Canadian flag not have the Union Jack in its upper hoist quadrant , even though it is a British realm ?'	b'Why does the British flag not have the Union Jack in its upper hoist quadrant , even though it is a Canadian realm ?'	 even though 	 though 	O O O O O O O O O O O O O O O O B E O O O O O O	O O O O O O O O O O O O O O O O O S O O O O O O	0
2036	69108	b'Why does the Canadian flag not have the Union Jack in its upper hoist quadrant , even though it is a British realm ?'	b'Why does the British flag not have the Union Jack in its upper hoist quadrant , even though it is a Canadian realm ?'	 even though it is 	 though it is 	O O O O O O O O O O O O O O O O B I I E O O O O	O O O O O O O O O O O O O O O O O B I E O O O O	0
2036	132140	b'Why does the Canadian flag not have the Union Jack in its upper hoist quadrant , even though it is a British realm ?'	b'Why does the British flag not have the Union Jack in its upper hoist quadrant , even though it is a Canadian realm ?'	 though it is 	 even though it is 	O O O O O O O O O O O O O O O O O B I E O O O O	O O O O O O O O O O O O O O O O B I I E O O O O	0
2036	223380	b'Why does the Canadian flag not have the Union Jack in its upper hoist quadrant , even though it is a British realm ?'	b'Why does the British flag not have the Union Jack in its upper hoist quadrant , even though it is a Canadian realm ?'	 even though 	 even 	O O O O O O O O O O O O O O O O B E O O O O O O	O O O O O O O O O O O O O O O O S O O O O O O O	0
2036	237397	b'Why does the Canadian flag not have the Union Jack in its upper hoist quadrant , even though it is a British realm ?'	b'Why does the British flag not have the Union Jack in its upper hoist quadrant , even though it is a Canadian realm ?'	 even though it is 	 though it is 	O O O O O O O O O O O O O O O O B I I E O O O O	O O O O O O O O O O O O O O O O O B I E O O O O	0
2080	369932	b'Is Xiaomi free SMS service available in India ?'	b'Is Xiaomi free SMS service available in India ?'	 service available 	 service 	O O O O B E O O O	O O O O S O O O O	1
2095	33960	b'Why does BARC not recruit similar information technology students even though nowadays the syllabus for CSE and IT students is 99 % B.Tech ?'	b'Why does BARC not recruit B.Tech information technology students even though nowadays the syllabus for CSE and IT students is 99 % similar ?'	 even though 	 though 	O O O O O O O O O B E O O O O O O O O O O O O O	O O O O O O O O O O S O O O O O O O O O O O O O	0
2095	223380	b'Why does BARC not recruit similar information technology students even though nowadays the syllabus for CSE and IT students is 99 % B.Tech ?'	b'Why does BARC not recruit B.Tech information technology students even though nowadays the syllabus for CSE and IT students is 99 % similar ?'	 even though 	 even 	O O O O O O O O O B E O O O O O O O O O O O O O	O O O O O O O O O S O O O O O O O O O O O O O O	0
2114	88753	b'What strikes first time visitors as unusual or special when they arrive in Gimcheon , South Korea ?'	b'What strikes first time visitors as special or unusual when they arrive in Gimcheon , South Korea ?'	 first time 	 first 	O O B E O O O O O O O O O O O O O O	O O S O O O O O O O O O O O O O O O	1
2126	10923	b'When I get very sad I usually also get sick , can emotions be linked to physical health ?'	b'When I get very sad I usually also get sick , can emotions be linked to physical health ?'	 very sad 	 sad 	O O O B E O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O	1
2132	54374	"b""What are currently outdated web development technologies ? I have been working only with PHP/jQuery and I feel it 's very popular ."""	"b""What are currently popular web development technologies ? I have been working only with PHP/jQuery and I feel it 's very outdated ."""	 very popular 	 popular 	O O O O O O O O O O O O O O O O O O O O B E O	O O O S O O O O O O O O O O O O O O O O O O O	0
2145	57006	b'Is man essentially good or bad by nature ? If man is inherently good then why all the bad news plaguing our planet ?'	b'Is man essentially good by nature ? If man is inherently good or bad then why all the bad news plaguing our planet ?'	 then why 	 why 	O O O O O O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O O O O O O S O O O O O O O O	0
2155	268580	b'As per Hindu culture earlier both gender forced to wear bangles , tika , payal.why is this used only on women now after marriage.when did the rule change ?'	b'As per Hindu culture earlier both gender used to wear bangles , tika , payal.why is this forced only on women now after marriage.when did the rule change ?'	 now after 	 after 	O O O O O O O O O O O O O O O O O O O O O B E O O O O O O	O O O O O O O O O O O O O O O O O O O O O O S O O O O O O	0
2172	44326	b'What are the most common traffic convictions in Texas , and how does the severity of the convictions differ in Arkansas ?'	b'What are the most common traffic convictions in Arkansas , and how does the severity of the convictions differ in Texas ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O	0
2188	136503	"b""I have had two failed marriages . I 've been alone for two years . How do I meet someone else ? I 'm scared ."""	"b""I 've had two failed marriages . I have been alone for two years . How do I meet someone else ? I 'm scared ."""	 someone else 	 someone 	O O O O O O O O O O O O O O O O O O O B E O O O O O	O O O O O O O O O O O O O O O O O O O S O O O O O O	1
2188	401898	"b""I have had two failed marriages . I 've been alone for two years . How do I meet someone else ? I 'm scared ."""	"b""I 've had two failed marriages . I have been alone for two years . How do I meet someone else ? I 'm scared ."""	 two years 	 years 	O O O B O O O O O O O O O E O O O O O O O O O O O O	O O O O O O O O O O O O O S O O O O O O O O O O O O	1
2227	186399	b'Why is it , that ONLY Quora allows to share answer thru email/gmail , and sometimes there is no such option-Facebook and Twiter sometime ?'	b'Why is it , that sometimes Quora allows to share answer thru email/gmail , and sometime there is no such option-Facebook and Twiter ONLY ?'	 there is no such 	 there is no 	O O O O O O O O O O O O O O O O B I I E O O O O O	O O O O O O O O O O O O O O O O B I E O O O O O O	0
2227	340289	b'Why is it , that ONLY Quora allows to share answer thru email/gmail , and sometimes there is no such option-Facebook and Twiter sometime ?'	b'Why is it , that sometimes Quora allows to share answer thru email/gmail , and sometime there is no such option-Facebook and Twiter ONLY ?'	 there is no 	 there is no such 	O O O O O O O O O O O O O O O O B I E O O O O O O	O O O O O O O O O O O O O O O O B I I E O O O O O	0
2228	509729	b'If you could take a week and travel anywhere in the world , where would you go ?'	b'If you could travel a week and take anywhere in the world , where would you go ?'	 anywhere in the world 	 anywhere 	O O O O O O O O B I I E O O O O O O	O O O O O O O O S O O O O O O O O O	0
2261	323794	"b""If I 'm trying to get up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . start clients ) ?"""	"b""If I 'm trying to start up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . get clients ) ?"""	 'm trying to 	 trying to 	O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O	O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O	0
2261	431362	"b""If I 'm trying to get up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . start clients ) ?"""	"b""If I 'm trying to start up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . get clients ) ?"""	 'm trying to 	 trying to 	O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O	O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O	0
2261	431363	"b""If I 'm trying to get up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . start clients ) ?"""	"b""If I 'm trying to start up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . get clients ) ?"""	 'm trying to 	 trying to 	O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O	O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O	0
2261	535986	"b""If I 'm trying to get up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . start clients ) ?"""	"b""If I 'm trying to start up a freelance data analysis service for small to medium size websites/companies , how should I start ( i.e . get clients ) ?"""	 trying to 	 'm trying to 	O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O	O O B I E O O O O O O O O O O O O O O O O O O O O O O O O O	0
2269	122466	"b""I am a B.Tech Student at SRM Chennai studying ECE . I 'm afraid of circuits and labs . What can I do to alleviate my condition ?"""	"b""I 'm a B.Tech Student at SRM Chennai studying ECE . I am afraid of circuits and labs . What can I do to alleviate my condition ?"""	 'm afraid 	 am afraid 	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	1
2269	241783	"b""I am a B.Tech Student at SRM Chennai studying ECE . I 'm afraid of circuits and labs . What can I do to alleviate my condition ?"""	"b""I 'm a B.Tech Student at SRM Chennai studying ECE . I am afraid of circuits and labs . What can I do to alleviate my condition ?"""	 'm afraid 	 am afraid 	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	1
2269	428613	"b""I am a B.Tech Student at SRM Chennai studying ECE . I 'm afraid of circuits and labs . What can I do to alleviate my condition ?"""	"b""I 'm a B.Tech Student at SRM Chennai studying ECE . I am afraid of circuits and labs . What can I do to alleviate my condition ?"""	 'm afraid 	 am afraid 	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	O O O O O O O O O O O O B E O O O O O O O O O O O O O O	1
2271	282665	"b""How do I meet the guy I like , who likes me online but we 've only met 2 times in 4 years & always chatting back , w/out making a bad impression/awkward ?"""	"b""How do I meet the guy I like who likes me back but we 've only met 2 times in 4 years & always chatting online , w/out making a bad impression/awkward ?"""	 4 years 	 years 	O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O S O O O O O O O O O O O	0
2273	34742	b'A guy I like and work with keeps turning around to look at me , is he merely judging me or is he really interested in me ?'	b'A guy I like and work with keeps turning around to look at me , is he really judging me or is he merely interested in me ?'	 turning around 	 turning 	O O O O O O O O B E O O O O O O O O O O O O O O O O O O	O O O O O O O O S O O O O O O O O O O O O O O O O O O O	0
2289	81009	b'What are the most dangerous cities in United States ? How did they become so criminal ?'	b'What are the most criminal cities in United States ? How did they become so dangerous ?'	 most dangerous 	 dangerous 	O O O B E O O O O O O O O O O O O	O O O O O O O O O O O O O O O S O	0
2305	163307	b'If I am foreign national living in Atlanta and working in Philadelphia .'	b'If I am foreign national living in Philadelphia and working in Atlanta .'	 foreign national 	 foreign 	O O O B E O O O O O O O O	O O O S O O O O O O O O O	0
2324	60786	b'What is the most effective way a parent can get their 3 year old to stop nail biting ?'	b'What is the most effective way a parent can stop their 3 year old to get nail biting ?'	 most effective 	 effective 	O O O B E O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O	0
2367	264011	b'I have a mainframe experience of 5 years , is it possible now to switch to BI/hadoop ? Is there anyone who has done this ?'	b'I have a mainframe experience of 5 years , is it possible now to switch to BI/hadoop ? Is there anyone who has done this ?'	 5 years 	 years 	O O O O O O B E O O O O O O O O O O O O O O O O O O	O O O O O O O S O O O O O O O O O O O O O O O O O O	1
2378	350291	b'Can an Indian citizen vote for both state elections and national elections , or do they choose to have only one ?'	b'Can an Indian citizen vote for both state elections and national elections , or do they have to choose only one ?'	 national elections 	 elections , 	O O O O O O O O O O B E O O O O O O O O O O	O O O O O O O O B O O O E O O O O O O O O O	0
2383	350671	b'How do white people feel about black people ?'	b'How do black people feel about white people ?'	 white people 	 white 	O O B E O O O O O	O O O O O O S O O	0
2392	148315	"b""I thought DDos was a bad thing , why is DDosCoin so public , would n't it be better to keep such things unknown ?"""	"b""I thought DDos was a bad thing , why is DDosCoin so public , would n't it be better to keep such things unknown ?"""	 such things 	 things 	O O O O O O O O O O O O O O O O O O O O O B E O O	O O O O O O O O O O O O O O O O O O O O O O S O O	1
2419	109355	"b""I am trying to learn martial arts and I 'm 18 years old ."""	"b""I 'm trying to learn martial arts and I am 18 years old ."""	 years old 	 old 	O O O O O O O O O O O B E O	O O O O O O O O O O O O S O	1
2419	534134	"b""I am trying to learn martial arts and I 'm 18 years old ."""	"b""I 'm trying to learn martial arts and I am 18 years old ."""	 am trying to 	 'm trying to 	O B I E O O O O O O O O O O	O B I E O O O O O O O O O O	1
2419	534135	"b""I am trying to learn martial arts and I 'm 18 years old ."""	"b""I 'm trying to learn martial arts and I am 18 years old ."""	 am trying to 	 'm trying to 	O B I E O O O O O O O O O O	O B I E O O O O O O O O O O	1
2419	535986	"b""I am trying to learn martial arts and I 'm 18 years old ."""	"b""I 'm trying to learn martial arts and I am 18 years old ."""	 trying to 	 'm trying to 	O O B E O O O O O O O O O O	O B I E O O O O O O O O O O	1
2423	88753	b'I am going to USA first time , what is the best way to start exporting products from Shenzhen to Shenzhen ?'	b'I am going to Shenzhen first time , what is the best way to start exporting products from Shenzhen to USA ?'	 first time 	 first 	O O O O O B E O O O O O O O O O O O O O O O	O O O O O S O O O O O O O O O O O O O O O O	0
2440	4684	b'I want to build a very simple Android App like SHAREit . I want to learn Android Programming and other things needed . From where should I start ?'	b'I want to build a very simple Android App like SHAREit . I want to learn Android Programming and other things needed . From where should I start ?'	 very simple 	 simple 	O O O O O B E O O O O O O O O O O O O O O O O O O O O O O	O O O O O O S O O O O O O O O O O O O O O O O O O O O O O	1
2440	574145	b'I want to build a very simple Android App like SHAREit . I want to learn Android Programming and other things needed . From where should I start ?'	b'I want to build a very simple Android App like SHAREit . I want to learn Android Programming and other things needed . From where should I start ?'	 simple 	 very simple 	O O O O O O S O O O O O O O O O O O O O O O O O O O O O O	O O O O O B E O O O O O O O O O O O O O O O O O O O O O O	1
2469	538147	b'How can I restore old photos and save vintage prints and family pictures from wear and tear ?'	b'How can I restore old photos and save vintage prints and family pictures from wear and tear ?'	 wear and tear 	 wear 	O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O S O O O	1
2479	322477	"b""If you 're clearly guessing letters at the eye doctor , but you get most right , do they see that as being able to count them ?"""	"b""If you 're clearly guessing letters at the eye doctor , but you get most right , do they count that as being able to see them ?"""	 you 're 	 you 	O B E O O O O O O O O O O O O O O O O O O O O O O O O O	O S O O O O O O O O O O O O O O O O O O O O O O O O O O	0
2508	350671	b'Why is it that white people have become racist towards black people ?'	b'Why is it that black people have become racist towards white people ?'	 white people 	 white 	O O O O B E O O O O O O O	O O O O O O O O O O S O O	0
2512	88753	b'What strikes first time visitors as special or unusual when they arrive in S\xc3\xa3o Paulo , Brazil , Mogi Das Cruzes ?'	b'What strikes first time visitors as special or unusual when they arrive in Mogi Das Cruzes , S\xc3\xa3o Paulo , Brazil ?'	 first time 	 first 	O O B E O O O O O O O O O O O O O O O O O O	O O S O O O O O O O O O O O O O O O O O O O	1
2535	527111	b'Where can I get well-written , good quality kids books online ?'	b'Where can I get online-written , good quality kids books well ?'	 good quality 	 quality 	O O O O O O B E O O O O	O O O O O O O S O O O O	0
2554	527111	b'Which are some good quality mild sulfate-free shampoos ? Where can I avail them ?'	b'Which are some good quality mild sulfate-free shampoos ? Where can I avail them ?'	 good quality 	 quality 	O O O B E O O O O O O O O O O	O O O O S O O O O O O O O O O	1
2564	339985	b'Why is the Philippines President becoming the Human Rights leader in the world after he has lectured the U.S. on what is the human rights ?'	b'Why is the U.S. President becoming the Human Rights leader in the world after he has lectured the Philippines on what is the human rights ?'	 the human rights 	 the human 	O O B O O O O O O O O O O O O O O O O O O O O I E O	O O B O O O O O O O O O O O O O O O O O O O O E O O	0
2603	194412	"b""It 's not stuff when he 's calm through impulse it 's when he is angry"""	"b""It 's not stuff when he 's angry through impulse it 's when he is calm"""	 's not 	 not 	O B E O O O O O O O O O O O O O	O O S O O O O O O O O O O O O O	0
2616	44326	b'What are the most common traffic convictions in Idaho , and how does the severity of the convictions differ in Arkansas ?'	b'What are the most common traffic convictions in Arkansas , and how does the severity of the convictions differ in Idaho ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O	0
2617	459668	b'My ambition is to be an illustrator . What should I do from now to become one ?'	b'My ambition is to become an illustrator . What should I do from now to be one ?'	 become one 	 be 	O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O S O O	1
2694	315246	"b""Why is it OK for Quora users to call me racist for no reason , but not OK for me to say it 's possible to be racist against white people ?"""	"b""Why is it possible for Quora users to call me racist for no reason , but not 'OK ' for me to say it 's 'OK ' to be racist against white people ?"""	 's possible 	 possible 	O O O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O	O O O S O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	0
2694	350671	"b""Why is it OK for Quora users to call me racist for no reason , but not OK for me to say it 's possible to be racist against white people ?"""	"b""Why is it possible for Quora users to call me racist for no reason , but not 'OK ' for me to say it 's 'OK ' to be racist against white people ?"""	 white people 	 white 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S O O	0
2698	88753	b'When Was the first time you did something for the last time ?'	b'When Was the last time you did something for the first time ?'	 first time 	 first 	O O O B E O O O O O O O O	O O O O O O O O O O S O O	0
2701	311278	b'What are the positive and negative effects of demonetisation ?'	b'What are the negative ANd positive effects of demonitisation ?'	 positive and negative 	 positive 	O O O B I E O O O O	O O O O O S O O O O	1
2713	234683	b'Can I pay $ 25 per month at Treehouse and get the Techdegree Certificate ?'	b'Can I pay $ 25 per month at Treehouse and get the Techdegree Certificate ?'	 per month 	 month 	O O O O O B E O O O O O O O O	O O O O O O S O O O O O O O O	1
2715	44326	b'What are the most common traffic convictions in Arkansas , and how does the severity of the convictions differ in Utah ?'	b'What are the most common traffic convictions in Utah , and how does the severity of the convictions differ in Arkansas ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O	0
2718	270677	b'Have you ever done something deeply immoral that you truly are nonetheless satisfied with ?'	b'Have you ever done something truly immoral that you nonetheless are deeply satisfied with ?'	 done something 	 done 	O O O B E O O O O O O O O O O	O O O S O O O O O O O O O O O	0
2734	317252	b'Why are electromagnetic waves not deflected by an external field while they are composed of mutually perpendicular magnetic and electric fields ?'	b'Why are external waves not deflected by an electromagnetic field while they are composed of mutually perpendicular magnetic and electric fields ?'	 mutually perpendicular 	 perpendicular 	O O O O O O O O O O O O O O O B E O O O O O	O O O O O O O O O O O O O O O O S O O O O O	0
2740	250600	"b""I 'd really like to get into stocks and shares but I am unsure where to begin . Where do I start ?"""	"b""I 'd really like to get into stocks and shares but I am unsure where to start . Where do I begin ?"""	 where to begin 	 where to start 	O O O O O O O O O O O O O O B I E O O O O O O	O O O O O O O O O O O O O O B I E O O O O O O	1
2740	259030	"b""I 'd really like to get into stocks and shares but I am unsure where to begin . Where do I start ?"""	"b""I 'd really like to get into stocks and shares but I am unsure where to start . Where do I begin ?"""	 to begin 	 to start 	O O O O B O O O O O O O O O O O E O O O O O O	O O O O B O O O O O O O O O O O E O O O O O O	1
2749	288540	"b""Do you think it 's important to keep the only-male succession for the Japanese Imperial Throne ?"""	"b""Do you think it 's important to keep the male-only succession for the Japanese Imperial Throne ?"""	 's important 	 important 	O O O O B E O O O O O O O O O O O	O O O O O S O O O O O O O O O O O	1
2762	499054	b'What are some reluctant stories about a hero being good throughout the entire adventure/quest ?'	b'What are some good stories about a hero being reluctant throughout the entire adventure/quest ?'	 throughout the entire 	 throughout the 	O O O O O O O O O O B I E O O	O O O O O O O O O O B E O O O	0
2771	411137	b'In a turbine , why is the final enthalpy ( of the working substance ) in an actual process greater than that of an isentropic process ?'	b'In a turbine , why is the final enthalpy ( of the working substance ) in an isentropic process greater than that of an actual process ?'	 of the working 	 of the 	O O O O O O O O O O B I E O O O O O O O O O O O O O O	O O O O O O O O O O B E O O O O O O O O O O O O O O O	0
2783	320524	b'Do east asian girls belong to us white men ?'	b'Do white girls belong to us east asian men ?'	 east asian 	 east 	O B E O O O O O O O	O O O O O O S O O O	0
